idx,file,subject,stage,crop,note,v:1:1,v:4:3,v:3:2,v:16:10,v:16:9,v:2:1,v:3:1,v:4:1,v:4.5:1,v:6:1
30,iStock-1133212923.jpg,nutrition,s6,T,styled flat lay,pass,pass,pass,pass,pass,pass,pass,pass,,
31,iStock-1133738868.jpg,digital,s6,T,,pass,pass,,,,,,fail,fail,fail
32,iStock-1134003545.jpg,social,s6,T,,pass,pass,pass,,,,,marginal,,
33,iStock-1138155900.jpg,nutrition,s6,T,,pass,pass,pass,,,,,marginal,,
34,iStock-1138169611.jpg,play,s5,H,,marginal,,pass,pass,pass,pass,pass,pass,,
35,iStock-1139731889 (1).jpg,move,s3,T,hydration,pass,pass,pass,,,,,fail,fail,fail
36,iStock-1139996598 (1).jpg,data,s4,T,two members comparing — challenges,pass,pass,pass,,,,,marginal,,
37,iStock-1140322836 (1).jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
38,iStock-1140524613.jpg,work,s5,T,,marginal,,,pass,pass,pass,pass,pass,,
39,iStock-1142905588.jpg,move,s3,T,armband phone,pass,pass,pass,pass,pass,pass,pass,pass,,
40,iStock-1143543752 (1).jpg,digital,s6,T,,pass,pass,,,,,,fail,fail,fail
41,iStock-1152763706.jpg,social,s6,T,couple,pass,pass,pass,pass,pass,pass,pass,pass,,
42,iStock-1155613377.jpg,outdoors,s5,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
43,iStock-1157981826.jpg,move,s2,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
44,iStock-1158601083-modified-0af1f4a7-65cf-4c21-bd5a-1e2cf1ff9e8f.jpg,outdoors,s6,H,no face,pass,pass,pass,pass,pass,pass,pass,pass,,
45,iStock-1159495308.jpg,mind,s3,H,,fail,,pass,pass,pass,pass,pass,pass,,
46,iStock-1160478813.jpg,move,s2,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
47,iStock-1160753598.jpg,digital,s6,T,,pass,pass,,,,,,fail,fail,fail
48,iStock-1162496046.jpg,family,s3,H,family yoga,marginal,,pass,,,,,fail,fail,fail
49,iStock-1162739206.jpg,social,s5,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
50,iStock-1162744681-modified-3600d3fb-d71b-47ae-8bb6-7dc7afb686a9.jpg,social,s5,T,near-dupe of 51,pass,pass,pass,pass,pass,pass,pass,pass,,
51,iStock-1162744681.jpg,social,s5,H,near-dupe of 50,marginal,,pass,pass,pass,pass,pass,pass,,
52,iStock-1169087714.jpg,family,s5,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
53,iStock-1173848248.jpg,digital,s6,T,,pass,pass,,,,,,marginal,,
54,iStock-1174056152.jpg,data,s4,N,,pass,pass,pass,pass,pass,pass,pass,pass,,
55,iStock-1177720853.jpg,digital,s6,T,tablet + card — rewards / redemption,pass,pass,pass,pass,pass,pass,pass,pass,,
56,iStock-1179718217.jpg,nutrition,s3,T,cooking,pass,pass,pass,pass,pass,pass,pass,pass,,
57,iStock-1180354162.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
58,iStock-1182818322.jpg,outdoors,s5,H,,pass,pass,,pass,pass,pass,pass,pass,,
59,iStock-1183928827.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
60,iStock-1185840253.jpg,nutrition,s6,T,,pass,pass,pass,,,,,marginal,,
61,iStock-1186975597.jpg,mind,s6,T,music,pass,pass,,pass,pass,pass,pass,pass,,
62,iStock-1187354800.jpg,data,s4,N,wearable detail,pass,pass,pass,pass,pass,pass,pass,pass,,
63,iStock-1188875730.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
64,iStock-1192080209-modified-795a73ee-ef74-4e77-adc1-ad502d263cec.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
65,iStock-1193474192.jpg,mind,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
66,iStock-1201185522.jpg,family,s6,T,maternity + tablet,pass,pass,pass,,,,,fail,fail,fail
67,iStock-1201599328.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
68,iStock-1205226181.jpg,nutrition,s6,N,heart carved in apple — symbol,pass,pass,pass,pass,pass,pass,pass,pass,,
69,iStock-1216278041.jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
70,iStock-1216278105.jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
71,iStock-1216562014.jpg,family,s6,T,,marginal,,,pass,pass,pass,pass,pass,,
72,iStock-1223350324.jpg,move,s3,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
73,iStock-1224359352 (1).jpg,move,s3,T,,pass,pass,pass,,,,,fail,fail,fail
74,iStock-1237011854.jpg,data,s4,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
75,iStock-1250321937.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
76,iStock-1254988137.jpg,social,s5,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
77,iStock-1254988610.jpg,move,s5,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
78,iStock-1255493335.jpg,mind,s6,T,legs in surf,pass,pass,pass,pass,pass,pass,pass,pass,,
79,iStock-1255619221-modified-7efd5769-0ff7-408a-bafb-364fe9d42dd3.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
80,iStock-1256558922.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
81,iStock-1263789371 (1).jpg,pets,s6,X,dog in goggles — novelty,pass,pass,pass,pass,pass,pass,pass,pass,,
82,iStock-1264315855.jpg,work,s6,T,also reads as telehealth,pass,pass,pass,pass,pass,pass,pass,pass,,
83,iStock-1284279100.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
84,iStock-1284856826.jpg,mind,s6,T,waking / sleep,pass,pass,pass,,,,,fail,fail,fail
85,iStock-1297832941.jpg,move,s2,T,home workout + laptop,fail,,pass,,,,,fail,fail,fail
86,iStock-1302997740.jpg,play,s6,T,child,pass,pass,pass,,,,,fail,fail,fail
87,iStock-1307238003.jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
88,iStock-1313901535.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
89,iStock-1317418930.jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
90,iStock-1317735408.jpg,mind,s6,T,breath,pass,pass,pass,pass,pass,pass,pass,pass,,
91,iStock-1319768894 (4).jpg,move,s3,H,group class,marginal,,pass,pass,pass,pass,pass,pass,,
92,iStock-1332834811.jpg,digital,s6,T,hike + phone,pass,pass,pass,pass,pass,pass,pass,pass,,
93,iStock-1344934175.jpg,mind,s6,T,hammock + dog,pass,pass,pass,pass,pass,pass,pass,pass,,
94,iStock-1350630614 (1).jpg,pets,s6,T,,pass,pass,pass,,,,,fail,fail,fail
95,iStock-1351088909 (1).jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
96,iStock-1358029042.jpg,clinical,s2,N,chart + stethoscope,pass,pass,pass,pass,pass,pass,pass,pass,,
97,iStock-1364466033.jpg,social,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
98,iStock-1365314664.jpg,family,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
99,iStock-1365703921.jpg,social,s6,T,support,marginal,,pass,,,,,fail,fail,fail
100,iStock-1368004397.jpg,social,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
101,iStock-1369510182.jpg,portrait,s5,T,heart hands — 1 of 4,pass,pass,pass,,,,,fail,fail,fail
102,iStock-1369510200.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
103,iStock-1369510216.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
104,iStock-137086893.jpg,digital,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
105,iStock-1371447018.jpg,social,s5,T,,pass,pass,,pass,pass,pass,pass,pass,,
106,iStock-1371529600.jpg,family,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
107,iStock-1387721011.jpg,nutrition,s3,T,serving greens,pass,pass,pass,pass,pass,pass,pass,pass,,
108,iStock-1389754715 (1).jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
109,iStock-1399190196 (1).jpg,family,s6,H,sky negative space,marginal,,pass,pass,pass,pass,pass,pass,,
110,iStock-1399519845.jpg,data,s4,N,in-app heart rate — will date,pass,pass,pass,pass,pass,pass,pass,pass,,
111,iStock-1399519848.jpg,digital,s6,T,gym + phone,pass,pass,pass,pass,pass,pass,pass,pass,,
112,iStock-1408168028 (2).jpg,family,s6,H,near-dupe of 113,fail,,pass,pass,pass,pass,pass,pass,,
113,iStock-1408168028-modified-65da2832-f92d-4083-9c3f-865a45158901.jpg,family,s6,T,near-dupe of 112,marginal,,pass,pass,pass,pass,pass,pass,,
114,iStock-1411277827.jpg,portrait,s6,X,house key — not a health subject,pass,pass,pass,pass,pass,pass,pass,pass,,
115,iStock-1411550884.jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
116,iStock-1413996657.jpg,mind,s3,H,,pass,pass,,,,,,fail,fail,fail
117,iStock-1415153426.jpg,family,s6,H,,pass,pass,pass,,,,,marginal,,
118,iStock-1416048929.jpg,work,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
119,iStock-1421273011.jpg,nutrition,s6,T,child + garden,pass,pass,pass,pass,pass,pass,pass,pass,,
120,iStock-1421402655.jpg,mind,s6,T,,pass,pass,pass,,,,,marginal,,
121,iStock-1430670068 (3).jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
122,iStock-1433432507.jpg,nutrition,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
123,iStock-1437946769.jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
124,iStock-1445226966.jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
125,iStock-1446116804 (1).jpg,data,s4,T,,pass,pass,pass,,,,,marginal,,
126,iStock-1467039986.jpg,work,s6,T,,fail,,,pass,pass,pass,pass,pass,,
127,iStock-146813317 (1).jpg,work,s6,N,portrait file,pass,pass,,,,,,fail,fail,fail
128,iStock-1468149085.jpg,move,s5,T,,pass,pass,pass,,,,,fail,fail,fail
129,iStock-1469568579.jpg,digital,s2,N,portrait file; home gym,pass,pass,,pass,pass,pass,pass,pass,,
130,iStock-1472357042.jpg,mind,s3,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
131,iStock-1486146700.jpg,move,s3,T,,pass,pass,pass,,,,,fail,fail,fail
132,iStock-1496520632 (9).jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
133,iStock-1500051695.jpg,nutrition,s4,T,food + dumbbell,pass,pass,pass,pass,pass,pass,pass,pass,,
134,iStock-1500554365.jpg,family,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
135,iStock-1504473094.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
136,iStock-153574050.jpg,nutrition,s6,X,tomatoes on eyes — dated,pass,pass,pass,pass,pass,pass,pass,pass,,
137,iStock-1550071750 (3).jpg,outdoors,s6,H,no people,pass,pass,,pass,pass,pass,pass,pass,,
138,iStock-155386657.jpg,clinical,s2,T,sun protection,pass,pass,,pass,pass,pass,pass,pass,,
139,iStock-1566128443.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
140,iStock-1588340753 (1).jpg,nutrition,s6,T,studio pink bg,pass,pass,pass,pass,pass,pass,pass,pass,,
141,iStock-1792547727 (1).jpg,move,s3,T,size representation,pass,pass,pass,,,,,fail,fail,fail
142,iStock-187865879.jpg,move,s3,T,,pass,pass,,pass,pass,pass,pass,pass,,
143,iStock-1907559204.jpg,portrait,s5,N,heart hands — 2 of 4,pass,pass,pass,pass,pass,pass,pass,pass,,
144,iStock-1916590329.jpg,nutrition,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
145,iStock-2000662928.jpg,mind,s6,H,book still life,pass,pass,pass,pass,pass,pass,pass,pass,,
146,iStock-2040546833.jpg,work,s6,T,security graphic — privacy/consent only,marginal,,pass,pass,pass,pass,pass,pass,,
147,iStock-2058928385 (1).jpg,nutrition,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
148,iStock-2063434978.jpg,work,s6,T,"headset — service, not member",pass,pass,,pass,pass,pass,pass,pass,,
149,iStock-2148263414.jpg,family,s6,T,multi-gen + treat,pass,pass,pass,pass,pass,pass,pass,pass,,
150,iStock-2149438425.jpg,portrait,s6,T,,pass,pass,pass,,,,,fail,fail,fail
151,iStock-2150324729.jpg,social,s6,H,multi-gen,marginal,,pass,pass,pass,pass,pass,pass,,
152,iStock-2153419933.jpg,work,s6,T,near-dupe of 148,pass,pass,,pass,pass,pass,pass,pass,,
153,iStock-2159922301.jpg,move,s3,T,group yoga,marginal,,pass,,,,,fail,fail,fail
154,iStock-2162069693.jpg,social,s5,T,,marginal,,,pass,pass,pass,pass,pass,,
155,iStock-2164477556.jpg,outdoors,s3,H,effort,marginal,,pass,pass,pass,pass,pass,pass,,
156,iStock-2165154407.jpg,work,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
157,iStock-2170146602-modified-d01de385-326d-4604-9cf8-e0083d1bbb0c.jpg,digital,s6,N,portrait; dupe of 158,pass,pass,,,,,,fail,fail,fail
158,iStock-2170146602.jpg,digital,s6,T,dupe of 157,pass,pass,pass,pass,pass,pass,pass,pass,,
159,iStock-2171209531.jpg,family,s6,T,caregiving,pass,pass,,pass,pass,pass,pass,pass,,
160,iStock-2174681346.jpg,move,s3,T,size representation,pass,pass,pass,,,,,fail,fail,fail
161,iStock-2177182851.jpg,portrait,s5,T,heart hands — 3 of 4,pass,pass,pass,pass,pass,pass,pass,pass,,
162,iStock-2178883854 (1).jpg,play,s5,T,55+ / tennis,pass,pass,pass,pass,pass,pass,pass,pass,,
163,iStock-2188002451-modified-e49625a2-fb25-4b6d-bb33-d26d0da2df08.jpg,pets,s6,H,wide beach,marginal,,pass,pass,pass,pass,pass,pass,,
164,iStock-2193889782.jpg,clinical,s2,T,visit,pass,pass,pass,pass,pass,pass,pass,pass,,
165,iStock-2195528393-modified-8490bf65-ca95-4c71-a68b-92e751d40d68.jpg,family,s5,H,kids,marginal,,pass,pass,pass,pass,pass,pass,,
166,iStock-2203756875.jpg,portrait,s5,T,confetti — rewards,pass,pass,pass,pass,pass,pass,pass,pass,,
167,iStock-2204287173.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
168,iStock-2207014800.jpg,social,s6,T,cold weather,marginal,,pass,pass,pass,pass,pass,pass,,
169,iStock-2216625459.jpg,strength,s3,T,,pass,pass,pass,,,,,marginal,,
170,iStock-2218333108.jpg,clinical,s4,T,clinician dashboard,pass,pass,pass,pass,pass,pass,pass,pass,,
171,iStock-2219519817.jpg,work,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
172,iStock-2220840168.jpg,work,s6,T,,pass,pass,pass,,,,,fail,fail,fail
173,iStock-2223221030 (1).jpg,work,s6,T,,marginal,,,pass,pass,pass,pass,pass,,
174,iStock-2231111850.jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
175,iStock-2242235350 (1).jpg,clinical,s6,T,clinician + phone,pass,pass,pass,,,,,fail,fail,fail
176,iStock-2243539588.jpg,strength,s3,N,hands + barbell,pass,pass,pass,pass,pass,pass,pass,pass,,
177,iStock-2258707795.jpg,nutrition,s6,N,,pass,pass,pass,pass,pass,pass,pass,pass,,
178,iStock-2267959433.jpg,mind,s6,T,dupe of 179,pass,pass,pass,pass,pass,pass,pass,pass,,
179,iStock-2267959513.jpg,mind,s6,T,dupe of 178,pass,pass,pass,pass,pass,pass,pass,pass,,
180,iStock-467328525.jpg,mind,s3,N,portrait file,pass,pass,,,,,,fail,fail,fail
181,iStock-468992257.jpg,mind,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
182,iStock-477120698.jpg,mind,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
183,iStock-477474594.jpg,mind,s6,T,reading,pass,pass,pass,pass,pass,pass,pass,pass,,
184,iStock-481242162.jpg,nutrition,s6,T,flat lay,pass,pass,pass,pass,pass,pass,pass,pass,,
185,iStock-481520660.jpg,digital,s6,T,,pass,pass,pass,,,,,fail,fail,fail
186,iStock-483004494.jpg,family,s6,T,sport,pass,pass,pass,pass,pass,pass,pass,pass,,
187,iStock-486500248.jpg,social,s6,T,55+ couple,marginal,,pass,pass,pass,pass,pass,pass,,
188,iStock-487960645.jpg,play,s6,T,child,pass,pass,pass,pass,pass,pass,pass,pass,,
189,iStock-490815052.jpg,outdoors,s3,T,hydration,pass,pass,pass,pass,pass,pass,pass,pass,,
190,iStock-491672524.jpg,digital,s6,N,portrait file,pass,pass,,,,,,fail,fail,fail
191,iStock-492529287.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
192,iStock-493881144.jpg,mind,s6,T,studio,pass,pass,,,,,,fail,fail,fail
193,iStock-495294628.jpg,social,s6,T,,marginal,,pass,pass,pass,pass,pass,pass,,
194,iStock-500808858 (1).jpg,work,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
195,iStock-505244788.jpg,social,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
196,iStock-506508780.jpg,family,s5,T,,marginal,,,pass,pass,pass,pass,pass,,
197,iStock-507082202.jpg,move,s3,N,portrait file,pass,pass,,,,,,fail,fail,fail
198,iStock-515643880.jpg,mind,s1,T,stress at desk,pass,pass,,pass,pass,pass,pass,pass,,
199,iStock-515858710.jpg,mind,s3,N,hands only,pass,pass,pass,pass,pass,pass,pass,pass,,
200,iStock-517057532 (1).jpg,move,s3,N,portrait file,marginal,,,,,,,fail,fail,fail
201,iStock-520712882 (1).jpg,clinical,s6,T,,pass,pass,pass,,,,,fail,fail,fail
202,iStock-522311951.jpg,move,s2,N,portrait file; 55+,pass,pass,,,,,,fail,fail,fail
203,iStock-525338868.jpg,clinical,s1,T,low-back pain — MSK,pass,pass,pass,pass,pass,pass,pass,pass,,
204,iStock-528286906 (1).jpg,family,s6,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
205,iStock-538335514.jpg,move,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
206,iStock-546206734-modified-659fed1e-0c5d-43b9-ab12-abdf4fdf1d43.jpg,mind,s6,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
207,iStock-547048740.jpg,move,s2,T,home yoga + dog,pass,pass,pass,,,,,fail,fail,fail
208,iStock-579762324-modified-d2ef88fd-05f9-4b82-a04e-8f1e07e428ed.jpg,outdoors,s5,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
209,iStock-583958310.jpg,mind,s5,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
210,iStock-585796562 (1) (1).jpg,family,s6,T,maternity,pass,pass,pass,pass,pass,pass,pass,pass,,
211,iStock-597269402.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
212,iStock-601912026.jpg,move,s3,T,,pass,pass,pass,,,,,fail,fail,fail
213,iStock-611857304.jpg,move,s3,T,effort / breathless,pass,pass,,,,,,fail,fail,fail
214,iStock-612619528.jpg,outdoors,s5,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
215,iStock-613241502.jpg,work,s6,T,,pass,pass,pass,,,,,fail,fail,fail
216,iStock-614734264.jpg,move,s4,T,stairs — steps,pass,pass,,pass,pass,pass,pass,pass,,
217,iStock-617368256-modified-24fec599-7a03-41d0-aa61-5cae7cd037ae.jpg,social,s5,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
218,iStock-623214156.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
219,iStock-623383236.jpg,mind,s3,N,portrait file,pass,pass,,,,,,fail,fail,fail
220,iStock-625738384.jpg,work,s1,T,burnout,pass,pass,pass,pass,pass,pass,pass,pass,,
221,iStock-626188422.jpg,outdoors,s5,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
222,iStock-636083442.jpg,move,s3,T,hydration,pass,pass,pass,pass,pass,pass,pass,pass,,
223,iStock-637774894.jpg,work,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
224,iStock-643360916 (1).jpg,social,s5,H,helping hand — portrait file,pass,pass,,pass,pass,pass,pass,pass,,
225,iStock-664213460.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
226,iStock-668164180.jpg,outdoors,s3,H,,pass,pass,,pass,pass,pass,pass,pass,,
227,iStock-670329158.jpg,family,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
228,iStock-674567376.jpg,mind,s6,H,,pass,pass,,pass,pass,pass,pass,pass,,
229,iStock-675938412.jpg,move,s3,H,,pass,pass,,pass,pass,pass,pass,pass,,
230,iStock-815638746 (2).jpg,work,s1,T,overwhelm,pass,pass,,pass,pass,pass,pass,pass,,
231,iStock-815982336.jpg,data,s4,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
232,iStock-824167622.jpg,digital,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
233,iStock-857052046 (1).jpg,digital,s2,N,hands only,pass,pass,pass,pass,pass,pass,pass,pass,,
234,iStock-857786372.jpg,family,s6,T,,marginal,,pass,pass,pass,pass,pass,pass,,
235,iStock-874231466.jpg,move,s4,T,stairs — steps,pass,pass,pass,pass,pass,pass,pass,pass,,
236,iStock-876466400 (9).jpg,digital,s6,T,,pass,pass,pass,,,,,fail,fail,fail
237,iStock-886673462.jpg,move,s2,T,,pass,pass,pass,,,,,fail,fail,fail
238,iStock-899959552.jpg,mind,s6,H,,pass,pass,pass,pass,pass,pass,pass,pass,,
239,iStock-901096798 (1).jpg,strength,s2,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
240,iStock-902827530.jpg,family,s6,T,cycling,pass,pass,,pass,pass,pass,pass,pass,,
241,iStock-906871772.jpg,work,s1,T,,pass,pass,,pass,pass,pass,pass,pass,,
242,iStock-923352966.jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
243,iStock-931231576.jpg,nutrition,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
244,iStock-931419404.jpg,social,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
245,iStock-944300692 (1).jpg,move,s6,T,,pass,pass,pass,,,,,fail,fail,fail
246,iStock-949503674.jpg,nutrition,s6,T,flat lay,pass,pass,,pass,pass,pass,pass,pass,,
247,iStock-958727702.jpg,nutrition,s6,T,,pass,pass,pass,,,,,fail,fail,fail
248,iStock-958728126.jpg,outdoors,s3,N,portrait file,pass,pass,,pass,pass,pass,pass,pass,,
249,iStock-959028830 (1).jpg,move,s3,H,dupe of 250,pass,pass,pass,pass,pass,pass,pass,pass,,
250,iStock-959028830-modified-3ef78345-71e4-4004-bcda-6aa3c034b128.jpg,move,s3,H,dupe of 249,pass,pass,pass,pass,pass,pass,pass,pass,,
251,iStock-965432044.jpg,digital,s6,T,,pass,pass,pass,,,,,marginal,,
252,iStock-969233490.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
253,iStock-970073902.jpg,digital,s2,N,portrait; studio teal,pass,pass,,,,,,fail,fail,fail
254,relaxed-female-runner-outdoors-picture-id1143241011 (1).jpg,move,s5,T,,pass,pass,,pass,pass,pass,pass,pass,,
255,shutterstock_1022179111 (1).jpg,nutrition,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
256,shutterstock_1038614926 (1).jpg,social,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
257,shutterstock_1154866195 (1).jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
258,shutterstock_1329116309 (1).jpg,digital,s2,T,studio teal,pass,pass,pass,,,,,fail,fail,fail
259,shutterstock_1372046480 (1).jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
260,shutterstock_1388859806.jpg,mind,s6,T,studio,pass,pass,pass,,,,,fail,fail,fail
261,shutterstock_1419388685.jpg,pets,s6,T,studio pink bg,pass,pass,,pass,pass,pass,pass,pass,,
262,shutterstock_1517173505 (2).jpg,family,s3,T,home movement with child,marginal,,pass,,,,,fail,fail,fail
